,Company,Industry,CEO,Company Size,Revenue
0,TikTok,Management & Consulting,,,
1,DXC Technology,Information Technology,"Mike Salvino, Chairman, President & CEO","more than 10,000",P5 billion to P10 billion
2,MediLink Network Inc.,Information Technology,,201 to 500,
3,Trend Micro,Information Technology,Eva Chen,"5,001 to 10,000",P1 billion to P5 billion
4,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
5,PM Consulting,Media & Communication,,,
6,NextPay,,,,
7,Digital Consulting PH,Human Resources and Staffing,,less than 10,
8,BUILD GREAT CONSTRUCTION CORPORATION,,,,
9,The Remote Sourcing,,,,
10,ZigZag Careers,,,,
11,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
12,PSM Ltd.,,,,
13,Inchcape Digital,,,,
14,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
15,Infinium Associates,Construction,,,
16,Connext Global Solutions,Human Resources & Staffing,Tim Mobley,201 to 500,
17,DTN,Information Technology,Ron Sznaider,"501 to 1,000",P100 million to P500 million
18,Champ Cargosystems Philippines Inc,,,,
19,BuildZoom,Architectural & Engineering Services,,51 to 200,
20,Fresh Prints,Retail & Wholesale,Josh Arbit,11 to 50,P1 million to P5 million
21,Zmg Ward Howell Inc,,,,
22,JTI - Japan Tobacco International,Manufacturing,,"more than 10,000",more than $10B (USD)
23,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
24,Asticom,Human Resources & Staffing,,,
25,Xelure Technologies,,,,
26,Appen,Information Technology,Mark Brayan,201 to 500,P25 million to P100 million
27,Carenet Healthcare,Healthcare,John Erwin,"1001 to 5,000",
28,MIND AI,Software Development,,,
29,Royal HaskoningDHV,Management & Consulting,,"5,001 to 10,000",P500 million to P1 billion
30,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
31,Philip Morris International,Manufacturing,Jacek Olczak,"more than 10,000",more than $10B (USD)
32,Infor PSSC Incorporated,Information Technology,Kevin Samuelson,"more than 10,000",P1 billion to P5 billion
33,OILSERVE PHILIPPINES CORPORATION,,,,
34,inchcape digital delivery center,,,,
35,StoreHub,2013,,11 to 50,
36,Jollibee Foods Corporation,Restaurants & Food Service,Ernesto Tanmantiong,"more than 10,000",P1 billion to P5 billion
37,Barghest Building Performance Philippines Corp,,,,
38,SLI Consulting Inc,Medical Testing & Clinical Laboratories,,,
39,Zmg Ward Howell Inc,,,,
40,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
41,AXA,Insurance,Thomas Buberl,"more than 10,000",more than $10B (USD)
42,WELINK MANAGEMENT CONSULTANCY SERVICES,Human Resources & Staffing,,,
43,Novare,,,,
44,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
45,Mission Consultancy Services Malaysia Sdn Bhd,Information Technology Support Services,,51 to 200,
46,Appen,Information Technology,Mark Brayan,201 to 500,P25 million to P100 million
47,Remote Staff Inc,Software Development,,,
48,Career Professionals Inc,Human Resources & Staffing,,less than 10,P1 million to P5 million
49,BuildZoom,Architectural & Engineering Services,,51 to 200,
50,Lancesoft Philippines Limited Inc.,,,,
51,AboitizPower,,,,
52,AvePoint,Information Technology,,"1001 to 5,000",P25 million to P100 million
53,Concentrix,Information Technology Support Services,Chris Caldwell,"more than 10,000",P1 billion to P5 billion
54,Joblu,,,,
55,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
56,The Latest Scoop,Retail & Wholesale,,11 to 50,
57,Solaire Resort and Casino,,,"5,001 to 10,000",
58,VMware,Information Technology, Raghu Raghuram,"more than 10,000",more than $10B (USD)
59,ANZ Banking Group,Financial Services,Shayne Elliott,"more than 10,000",more than $10B (USD)
60,"Benby Enterprises, Inc.",Restaurants & Food Service,,"501 to 1,000",P1 billion to P5 billion
61,Macquarie Group,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
62,Onsite Helper,,,,
63,Eclaro Business Solutions Incorporated,Information Technology,,11 to 50,P1 million to P5 million
64,Novare Technologies Inc,,,,
65,Aurecon Group,Consulting and Business Services,,"5,001 to 10,000",P500 million to P1 billion
66,"GMA Network, Inc.",Media & Communication,,"1001 to 5,000",
67,Hunter's Hub Inc.,HR Consulting,,,
68,"Global Quest Consulting Group, Inc.",,,,
69,Tri-Unity Talent Sourcing & HR Services,,,,
70,GDA Fund,Information Technology,,,
71,Pride Consulting Group Inc.,Human Resources & Staffing,,,
72,Ayala Land,,,201 to 500,more than $10B (USD)
73,Schneider Electric,"Energy, Mining & Utilities",Jean-Pascal Tricoire,"more than 10,000",more than $10B (USD)
74,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
75,Hunter's Hub Inc.,HR Consulting,,,
76,"Vertere Global Solutions, Inc.",Software Development,,,
77,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
78,Thakral One Solutions Private Limited,Manufacturing,,,
79,MediLink Network Inc.,Information Technology,,201 to 500,
80,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
81,Lancesoft Philippines Limited Inc.,,,,
82,Emapta Offshore Staffing,Business Consulting,Tim Vorbach,"5,001 to 10,000",
83,Talentium Inc,Human Resources & Staffing,,,
84,Brankas Pte Ltd,,,,
85,Excelitas Technologies,Manufacturing,"David Nislick, Ph.D. Chief Executive Officer","5,001 to 10,000",P1 billion to P5 billion
86,Monroe Consulting Group Philippines,,,,
87,Vertiv Co.,Telecommunications,Rob Johnson,"more than 10,000",P1 billion to P5 billion
88,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
89,TELUS International Philippines Inc,Information Technology,Jeff Puritt,"more than 10,000",
90,Coda Payments,Financial Services,,51 to 200,
91,Coda Payments,Financial Services,,51 to 200,
92,Potentia Workforce,,,,
93,"Unilab, Inc.",,,,
94,Jan De Nul,,,,
95,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
96,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
97,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
98,"Xurpas Enterprise, Inc.",,,,
99,NTT,Telecommunications,,,
100,National Grid Corporation of the Philippines,"Energy, Mining & Utilities",,"1001 to 5,000",
101,Viking Cloud,,,,
102,RELX,Information Technology,,,
103,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
104,RealPage,Real Estate,Dana Jones,"5,001 to 10,000",P500 million to P1 billion
105,"FROM, The Digital Transformation Agency",Internet & Web Services,,51 to 200,P5 million to P25 million
106,Five9 Inc.,Telecommunications,Rowan Trollope,"1001 to 5,000",P100 million to P500 million
107,Cobden and Carter International Inc,,,,
108,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
109,Prov International (Philippines) Inc,,,,
110,Diversify Intelligent Staffing Solutions Inc,,,,
111,Staizen,Retail & Wholesale,,,
112,AvePoint,Information Technology,,"1001 to 5,000",P25 million to P100 million
113,"Globe Telecom, Inc.",Management & Consulting,,"5,001 to 10,000",
114,Thermo Fisher Scientific,Pharmaceutical & Biotechnology,Marc Casper,"more than 10,000",more than $10B (USD)
115,FIRSTMAC OPERATION CENTER PTY-LTD PHILIPPINES BRANCH,,,,
116,The Remote Group,HR Consulting,,,
117,Jacobs,Architectural & Engineering Services,Steven J. Demetriou,"more than 10,000",more than $10B (USD)
118,Samsung Electronics,Manufacturing,"Kim, Ki Nam; Kim, Hyun Suk; Koh, Dong Jin","more than 10,000",more than $10B (USD)
119,Joseph Riley Recruitment Services Inc,,,,
120,TalentumPH,Human Resources & Staffing,,11 to 50,P1 million to P5 million
121,TalentumPH,Human Resources & Staffing,,11 to 50,P1 million to P5 million
122,Asticom,Human Resources & Staffing,,,
123,Lufthansa Technik Philippines,Aerospace & Defense,,"more than 10,000",P5 billion to P10 billion
124,Sprout Solutions PH,Information Technology,,,
125,"Trends Group, Inc.",Hotels & Travel Accommodation,,,
126,Imperial Homes Corporation,,,,
127,Maersk,Transportation & Logistics,Søren Skou,"more than 10,000",more than $10B (USD)
128,BARK,Information Technology,,51 to 200,
129,DoubleDragon Properties,Property Management,,11 to 50,
130,Lennor Metier Consulting Philippines,Human Resources & Staffing,,11 to 50,
131,Xelure Technologies,,,,
132,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
133,J-K Network SERVICES,HR Consulting,,51 to 200,
134,EY,Management & Consulting,Carmine Di Sibio ,"more than 10,000",more than $10B (USD)
135,Novare,,,,
136,MediLink Network Inc.,Information Technology,,201 to 500,
137,Appen,Information Technology,Mark Brayan,201 to 500,P25 million to P100 million
138,Wonese,Human Resources & Staffing,,,
139,Imperial Homes Corporation,Real Estate Agencies,,,
140,"Solvento Philippines, Inc",,,,
141,Adventure Consultancy Solutions,,,,
142,SiteMinder,Internet and Software,Sankar Narayan,"501 to 1,000",
143,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
144,Lycopodium,"Construction, Repair & Maintenance Services",,201 to 500,P100 million to P500 million
145,Lewis Glanz Consulting,Management & Consulting,,,
146,Starpay Corporation,,,,
147,Nearsol Philippines Incorporation,,,,
148,"SVR Telecom (Philippines) Inc.,",,,,
149,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
150,Remote Staff Inc,Software Development,,,
151,PAN ASIA RESOURCES PH INC,,,,
152,VERTERE GLOBAL SOLUTIONS,Software Development,,,
153,Lexagle,Retail & Wholesale,,,
154,iScale Solutions,Human Resources & Staffing,,201 to 500,
155,COMIT Telecom Philippines Inc,Telecommunications,,,
156,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
157,Golden Arches Development Corporation | McDonald's Philippines,,,,
158,DTN,Information Technology,Ron Sznaider,"501 to 1,000",P100 million to P500 million
159,Questronix Corporation,,,,
160,Johnson Controls,Manufacturing,George Oliver,"more than 10,000",more than $10B (USD)
161,MIND AI INC,Software Development,,,
162,Optimum Source Inc.,Staffing & Subcontracting,,51 to 200,
163,Maersk,Transportation & Logistics,Søren Skou,"more than 10,000",more than $10B (USD)
164,IBM Business Services inc,Information Technology,Arvind Krishna,"more than 10,000",more than $10B (USD)
165,Asticom,Human Resources & Staffing,,,
166,JTI - Japan Tobacco International,Manufacturing,,"more than 10,000",more than $10B (USD)
167,Hunter's Hub Inc.,HR Consulting,,,
168,IFE Management,Investment & Asset Management,,,
169,New York Global Consultants (NYGCI),,,,
170,"Woodfields Consultants, Inc",Architectural & Engineering Services,,51 to 200,
171,BlackCoders Group Inc.,,,,
172,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
173,BonChon Chicken,Restaurants & Food Service,Flynn Dekker,201 to 500,
174,T One Project Management Inc.,"Construction, Repair & Maintenance Services",David O'Neill,51 to 200,
175,"ENDEC, Inc.",,,,
176,Aurecon Group,Management & Consulting,,"5,001 to 10,000",P500 million to P1 billion
177,Aboitiz Power Generation Group,1998,,,
178,Procter & Gamble,"Construction, Repair & Maintenance Services",David Taylor,"more than 10,000",more than $10B (USD)
179,HC Consumer Finance Philippines Inc,,,,
180,HC Consumer Finance Philippines Inc,,,,
181,Novare Technologies Inc,,,,
182,medilink,Information Technology,,201 to 500,
183,TASQ Staffing Solutions,,,,
184,"Allegro MicroSystems, LLC",Manufacturing,Vineet Nargolwala,P500 million to P1 billion,
185,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
186,Eclaro Business Solutions Incorporated,Information Technology,,11 to 50,P1 million to P5 million
187,GN Solutions,"Construction, Repair & Maintenance Services",,,
188,Asticom,Human Resources & Staffing,,,
189,Drake International Ph,,,,
190,AIA,Insurance,Damien Mu,"501 to 1,000",
191,DALKIA Incorporated,,,,
192,The Plaza Del Norte Hotel,,,,
193,Kumu,Retail & Wholesale,,,
194,"RED CORE IT SOLUTIONS, INC.",,,,
195,DXC Technology,Information Technology,"Mike Salvino, Chairman, President & CEO","more than 10,000",P5 billion to P10 billion
196,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
197,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
198,Hitachi Rail STS Malaysia Sdn. Bhd.,,,,
199,DemandScience,Retail & Wholesale,,,
200,Hunter's Hub Inc.,HR Consulting,,,
201,"F.F. Cruz & Co., Inc.",,,,
202,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
203,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
