,Job Title,Company,Company Rating,Location,Salary,Job Description
0,IT Support Engineer,TikTok,,Manila,"PHP 20,838 - PHP 70,447 a month","We are seeking an IT Support Engineer to support our internal users in a growing business among the technology industry. Primary responsibilities to provide technical support for our employees in the local offices and remote offices via various form of interaction (Email, IM, Walk-in, Ticketing). The IT Support Engineer is responsible for supporting all end user computing (Windows/MAC/Mobile etc.) including conference technology (A/V & Web Conference) and applications/software within the corporate environment. The IT Support Engineer will provide build, setup, maintain, implement, and troubleshoot for all technology related matters affecting end-user productivity. The role will report to the regional IT Support Team Lead and roll up to the Regional Service Desk Manager.
The IT Support Engineer will interface daily with other technical staff, and work on assignments and delivering services to end-users. The incumbent will work closely with all users and management for issue resolutions, monitoring of our corporate IT infrastructure and drive service improvement to assist in its growth. May be assigned to lead initiatives/projects to drive technology improvement and user satisfaction as required.
Experience Level:
3 + years work experience in Computer Science or relevant.
Mandatory requirement:
· Fundamental understanding of IT concepts regarding hardware and software, networking, data storage, data backups, and monitoring.
· Excellent communication skills (At least reading) in English
· Good problem-solving skills, ability to troubleshoot and resolve issues without unnecessary escalation to higher levels of support.
· Team player with collaborative mindset, able to consider the “big picture” during decision making process.
· Ability to follow written and verbal instructions, willingness to learn and develop in both areas of technical and soft skills.
· Core competency with Mac OS and Microsoft Windows and Familiarity with data backup concepts and systems
· Good understanding of common PC & Mac hardware components and connections.
· Good understanding of Network Protocols (TCP/IP/UDP/ICMP etc.)
· Good understanding of common applications: email (Gmail), G Suite, desktop publishing (Microsoft Office), web browsers (Safari, Chrome...Etc.).
Desired Skills: ·
· Working knowledge of Conference Technology, Audio Visual.
· Working knowledge with 1 or more ITSM ticketing system.
· Working knowledge of Service Knowledge Management System.
· Working knowledge of Cloud base applications.
· Working knowledge of Mobile device management and support.
Job Type: Full-time
Salary: Php20,837.50 - Php70,447.08 per month
Benefits:
Life insurance
Schedule:
Day shift
Monday to Friday
Supplemental pay types:
Overtime pay
Ability to commute/relocate:
Manila: Reliably commute or planning to relocate before starting work (Required)
Experience:
IT Support: 1 year (Preferred)
Mac OS: 1 year (Preferred)
networking: 1 year (Preferred)"
1,Software Engineer (Entry Level),DXC Technology,"3.2 out of 5 stars from 3,865 employee ratings",Manila,,"Job Description:
Essential Job Functions
Codes, tests, debugs, implements, and documents basic programs. Assists in the modification of company products and/or customer/internal systems to meet the needs of the client and/or end-user.
Assists in the research and analysis of existing systems and program requirements; assists in preparing documentation to change existing programs. Performs data analysis to support internal and external project needs.
Designs basic programs for projects or enhancements to existing programs.
Writes specifications for programs of low to moderate complexity.
Assists in resolving routine production support problems.
Assists in the completion of unit testing by preparing test data, running tests and evaluating results. Develops screen tests and debugging problems. Develops test plans to verify logic of new or modified programs.
Creates basic documentation in work assignments such as program code.
Conducts routine quality assurance activities such as peer reviews.
Remains abreast of and researches industry technical trends and new development to maintain current skills and remain current with industry standards.
Basic Qualifications
Bachelor's degree or equivalent combination of education and experience
Bachelor's degree in computer science, mathematics or related field preferred
Zero or more years of experience in programming or testing
Experience working in a student employment program or related experience
Experience working with appropriate programming languages, operating systems and software
Experience working with relational databases to facilitate programming software
Other Qualifications
Basic programming skills
Personal computer and business solutions software skills
Analytical and problem solving skills for design, creation and testing of programs
Interpersonal skills to interact with team members
Communication skills to work effectively with team members, support personnel, and clients
Work Environment
Office environment"
2,Data Engineer (Associate Level),MediLink Network Inc.,3.1 out of 5 stars from 36 employee ratings,Makati,,"Job Description:
A Data Engineer(CL1) will help the company by helping the business and its clients on designing, building and moving their data from operational and external environments to the business intelligence environment or any other designated target for analysis, consumption and utilization, driving real business impact, also helping businesses, both internal and external, ensure good data governance and data quality
Duties and Responsibilities:
Extract data from different sources for processing, integration and business rule applications
Develop state of the art ETL jobs for transforming and replicating data depending on the current business need
Ensure data quality and data integrity throughout the ingestion process
Develop data ingestion jobs for POCs leaning towards advanced business solutions
Support the overall end to end enterprise level data projects, both internally and externally
Qualifications:
Requires a Bachelor’s Degreein Engineering, Computer Science, Information Technology or other related field
Knowledge in Python or any programming language preferred but not required
Knowledge in AWS, GCP, Big Data, Hadoop, Kafka preferred but not required
Knowledge in SQL, PL/SQL or any other relational and non relational database preferred but not required
Familiarity with data modeling is preferred but not required
Knowledge in using linux environment is a big plus
Knowledge in software development life cycle and agile/scrum methodology is preferred but not required
Natural problem solver and critical thinker
Detail oriented and highly adaptive
Good communication skills
Proactive
Fast learner
Job Type: Full-time
Benefits:
Flexible schedule
Flextime
Health insurance
Opportunities for promotion
Promotion to permanent employee
Work from home
Schedule:
8 hour shift
Day shift
Monday to Friday
Weekends
Supplemental pay types:
13th month salary
Overtime pay
Performance bonus
Ability to commute/relocate:
Makati City: Reliably commute or willing to relocate with an employer-provided relocation package (Required)"
3,Cybersecurity Threat Engineer (Entry Level),Trend Micro,4 out of 5 stars from 194 employee ratings,Manila,,"As the number of cyberattacks and digital threats continue to grow, our world needs more passionate and innovative individuals who seek to be trailblazers in and shapers of the rapidly evolving cybersecurity landscape.
At Trend Micro, we offer tremendous opportunities that will challenge and equip you to become engineered to do good in whatever path you take. By choosing to be an agent of change, you will be part of an impactful mission that aims to make the world safe for exchanging digital information.
Roles and Responsibilities:
Fresh graduates are welcome to apply.
What you’ll do:
Undergo training for 6 months on Malware Analysis applied toward Campaign Investigation to enhance your cybersecurity forensic skills.
Perform day-to-day threats analysis affecting customers and delivers quality and timely solutions to customers’ threat-related issues and inquiries
Provides layered solutions for prevention, detection, and sensors for high impact threats and campaigns
Proactively hunts for threats and create solutions on them even before threats reach customer environment
Meticulously correlate cyberthreat intelligence data points to investigate stages of campaigns and deploy permanent resolutions to minimize damages and prevent damage escalations
Apply big data analytics and machine learning on solutions created for automation
What you need
Bachelor’s degree in Computer Science, Information Technology or related fields
Required skill(s): Scripts, Basic Programming.
Preferred skill(s): VB, C++
What will help
Knowledge and skills in Assembly Programming is a plus
Rationale:
Cybersecurity is the main industry applicants are familiar with and the one they use to search for job openings
Threat provides focus on Core Tech department given that each Trender is already in the cybersecurity space
Engineer is where the specific responsibilities of the role becomes morevisible – analysis, investigation, solutions, etc.
Be Passionate.
Be Innovative.
Be a Trender.
Be #EngineeredToDoGood."
4,Software Engineer (February 2023 Class),FactSet Research Systems,3.8 out of 5 stars from 581 employee ratings,Manila,,"The FactSet Engineering team is composed of highly talented and motivated individuals primarily selected from toptier technical programs around the world. We believe this approach fosters the continual introduction of new technologies and ideas, which has been critical to our success. Our engineers believe that a key to their, and FactSet's, success is creating a loose team environment in which everyone can contribute individually, yet at the same time cultivate a community where engineers can depend on each other for help, learning, and development.
The Software Engineering group is focused on creating and maintaining financial applications and database systems as well as building the back-end support that allows our systems to run effectively. As part of the team, you will work closely with other departments within the company to ensure that FactSet's products and technologies are responsive to the changing needs of the investment community.FactSet is searching for a graduate with strong programming skills and good knowledge of an OO language and experience of working with OO concepts, who have ideally already gained some work experience. You will spend your time working in various areas of our business, including creation, management, and maintenance of custom database solutions, design and implementation of both client and internal facing applications, and work on our system infrastructure, database design, data feed acquisition, and deployment, GUI application development, system infrastructure development, web application development.
Job Requirements
Bachelor's Degree in Computer Science, Information Technology, Computer Engineering or equivalent.
Experience developing in C++, Java, Perl, Python, or any other object-oriented language
Fresh graduates/Entry level applicants are encouraged to apply.
Good communication skills
Good team player
Willing to start by February 2023"
5,Data Engineer (Hybrid Set-up),PM Consulting,,Taguig,"PHP 70,000 a month","Key Responsibilties:
Data preparation for machine learning models creation and their production use.
Deployment of machine learning models to production and testing them.
Data processing automation (ingestion, processing, publishing).
Datamart design and implementation.
Data Quality Monitoring and Control
Qualifications:
1. 2 years experience with data analysis
2. Experience with SQL, Python, Hadoop (SQL, ETL, Python, and data modelling if no Hadoop)
OPEN TO FRESH GRADS (graduate of Computer Science with Latin Honors and experience on SQL and Python)
Job Types: Full-time, Fresh graduate
Salary: Up to Php70,000.00 per month
Schedule:
8 hour shift
Day shift
Ability to commute/relocate:
Taguig City: Reliably commute or planning to relocate before starting work (Required)"
6,Data Engineer Intern,NextPay,,Manila,,"As a Data Engineer Intern at NextPay, you will be working closely with the Data Team composed of Data Engineers, Analysts, & Scientists who are building and continuously improving the company’s Dream Data Platform. You will be contributing to the development, testing, delivery, and maintenance of our data pipelines and infrastructure to help our cross-functional teams get real-time analytics.
What you gotta do
Help create, maintain, monitor, and optimize data pipelines
Assist in creating and performing manual and automated data quality checks
Participate in code reviews
Write utility scripts
Collaborate with the Data Team to implement internal process improvements
Our ideal candidate has
Computer programming background
Experience in bash scripting
Basic understanding of networking concepts (e.g. HTTP, REST, etc.)
Familiarity with Docker is a plus
Experience in Python and SQL is a huge plus
Job Type: OJT (On the job training)
Contract length: 4 months
Benefits:
Company events
Flexible schedule
Flextime
Opportunities for promotion
Paid training
Work from home
Schedule:
Flexible shift
Application Question(s):
Do you have experience in bash scripting?
Do you have knowledge with Python and SQL?"
7,Data Engineer,Digital Consulting PH,,Manila,"PHP 50,000 - PHP 80,000 a month","DATA ENGINEER
*
Shift and Time: 100% Remote / US Shift
*
*
Qualification:
*
*
Previous experience as a data engineer or in a similar role
Degree in Computer Science, IT, or similar field; a Master’s is a plus
Data engineering certification (e.g IBM Certified Data Engineer) is a plus
*
*
Full Job Description:
*
*
We are seeking an experienced data engineer to join our team. You will use various methods to transform raw data into useful data systems. This job requires you to work closely with the CEO.
Skills and Abilities:
*
*
Technical expertise with data models, data mining, and segmentation techniques
Knowledge of programming languages (e.g. Java and Python)
Hands-on experience with SQL database design
Great numerical and analytical skills
*
*
Key responsibilities:
Analyze and organize raw data
Build data systems and pipelines
Evaluate business needs and objectives
Interpret trends and patterns
Conduct complex data analysis and report on results
Prepare data for prescriptive and predictive modeling
Build algorithms and prototypes
Combine raw information from different sources
Explore ways to enhance data quality and reliability
Identify opportunities for data acquisition
Develop analytical tools and programs
*
Job Type: Full-time
Salary: Php50,000.00 - Php80,000.00 per month
Benefits:
Staff meals provided
Work from home
Schedule:
8 hour shift
Supplemental pay types:
13th month salary"
8,Site Engineer,BUILD GREAT CONSTRUCTION CORPORATION,,Manila,"PHP 25,000 - PHP 30,000 a month","Responsibilities
Manage, design, develop, create and maintain small-scale through to large-scale construction projects in a safe, timely and sustainable manner
Conduct on site investigations and analyze data (maps, reports, tests, drawings and other)
Carry out technical and feasibility studies and draw up blueprints that satisfy technical specifications
Assess potential risks, materials and costs
Provide advice and resolve creatively any emerging problems/deficiencies
Oversee and mentor staff and liaise with a variety of stakeholders
Handle over the resulting structures and services for use
Monitor progress and compile reports in project status
Manage budget and purchase equipment/materials
Comply with guidelines and regulations including permits, safety etc and deliver technical files and other technical documentation as required
Proven working experience in civil engineering
Excellent knowledge of design and visualizations software such as AutoCAD,Civil 3D or similar
Proficiency in site layout, grading, utility design, erosion control, regulatory approvals etc
Project management and supervision skills
Strong communication and interpersonal skills
License of professional engineer (Advantage, but not required)
BS/MA in Civil Engineering
Job Type: Full-time
Job Type: Full-time
Salary: Php25,000.00 - Php30,000.00 per month
Schedule:
8 hour shift
Ability to commute/relocate:
Manila: Reliably commute or planning to relocate before starting work (Required)
Application Deadline: 09/05/2022"
9,Data Engineer,The Remote Sourcing,,Quezon City,"PHP 36,000 - PHP 86,000 a month","Working Arrangement
Hybrid
Design and develop data pipelines and ETL jobs using Big Data Technologies based on functional/non-functional business requirements
Design & implement Data Integration/Ingestion/Extraction solutions based on high level architecture design
Identify, design and implement process improvements & delivery optimizations
Collaborate with Stakeholders, Business Analysts and Data Architects to assist and translate business requirements to technical solutions
Develop big data and analytic solutions leveraging new or existing technology to advance Manulife’s all lines of business
Exploratory data analysis; Query and process on-premise or cloud-based data, provide reports, summarize and visualize the data
Design, upgrade and implement new data workflows, automation, tools and API integrations.
Perform POC on new integration patterns and solutions.
Write and maintain technical documentation
Perform unit tests and system integration tests
Executes updates, patches, and other activities required to maintain and enhance the operations of on-premise or cloud-based environments
Supports the Agile delivery squads when required
We are looking for someone with:
At least 2 years experience as Data Engineer with focus on big data processing and/or relational databases
At least 2 years experience working with Microsoft Azure Data Platform, specifically Azure SQL Database, Azure Data Factory, ADLS storage account.
Experienced with working on Structured, Semi-Structured, Unstructured datasets
Experienced with any of the Big Data tools and technologies: Hadoop, Spark, Hive, Sqoop, Kafka, Nifi
Experienced with relational SQL and NoSQL databases: MSSQL, Postgres, HBase (MongoDB is a plus)
Experienced in creating data pipelines & developing complex and optimized queries
Experienced with Workflow Management Tools: Airflow, Crontab, CA Workload Automation
Knowledgeable with CI/CD tools
Experienced in any of the following programming/scripting languages (SQL, Python, Shell, Scala)
Knowledgeable or at least have the basic concept of Data Visualization in any of the following tools: Tableau, PowerBI, QlikView/QlikSense
Knowledgeable in using collaboration tools (eg. MS Teams/Skype, Confluence, JIRA)
Experience with any SLDC Methodologies and familiarity with different Agile methodologies
Demonstrates a commitment to delivering excellent service, balanced with appropriate risk management.
Monitor, validate, and drive continuous improvement to methods, and propose enhancements to data sources that improve usability and results
Good Communication and presentation skills
Analytical, structured, organized, and proactive
Stakeholder and project management is a plus
Job Type: Full-time
Salary: Php36,000.00 - Php86,000.00 per month
Benefits:
Health insurance
Paid training
Transportation service provided
Schedule:
8 hour shift
Flexible shift
Night shift
Supplemental pay types:
13th month salary
Bonus pay
Yearly bonus
Ability to commute/relocate:
Quezon City: Reliably commute or planning to relocate before starting work (Required)"
